Rodada;Time mandante;;Time visitante
;Athletico-PR;X;Fluminense
;Fortaleza;X;Coritiba
;América-MG;X;São Paulo
22ª;Fluminense;X;Fortaleza
;Botafogo;X;Flamengo
;São Paulo;X;Coritiba
;Corinthians;X;Palmeiras
;Goiás;X;Internacional
;Cruzeiro;X;Bragantino
;Grêmio;X;Cuiabá
;Athletico-PR;X;Atlético-MG
;Bahia;X;Vasco
;América-MG;X;Santos
23ª;Flamengo;X;Athletico-PR
;Vasco;X;Fluminense
;Palmeiras;X;Goiás
;Santos;X;Cruzeiro
;Bragantino;X;Grêmio
;Atlético-MG;X;Botafogo
;Internacional;X;São Paulo
;Coritiba;X;Bahia
;Fortaleza;X;Corinthians
;Cuiabá;X;América-MG
24ª;Fluminense;X;Cruzeiro
;Vasco;X;Coritiba
;São Paulo;X;Fortaleza
;Corinthians;X;Botafogo
;Goiás;X;Flamengo
;Atlético-MG;X;Cuiabá
;Grêmio;X;Palmeiras
;Athletico-PR;X;Internacional
;Bahia;X;Santos
;América-MG;X;Bragantino
25ª;Flamengo;X;Bahia
;Botafogo;X;Goiás
;São Paulo;X;Corinthians
;Santos;X;Vasco
;Bragantino;X;Palmeiras
;Cruzeiro;X;América-MG
;Internacional;X;Atlético-MG
;Coritiba;X;Athletico-PR
;Fortaleza;X;Grêmio
;Cuiabá;X;Fluminense
26ª;Fluminense;X;Botafogo
;Vasco;X;São Paulo
;Palmeiras;X;Santos
;Corinthians;X;Flamengo
;Goiás;X;Bahia
;Atlético-MG;X;Coritiba
;Internacional;X;Grêmio
;Athletico-PR;X;Bragantino
;Fortaleza;X;América-MG
;Cuiabá;X;Cruzeiro
27ª;Fluminense;X;Corinthians
;Vasco;X;Fortaleza
;Palmeiras;X;Atlético-MG
;Santos;X;Bragantino
;Goiás;X;São Paulo
;Cruzeiro;X;Flamengo
;Grêmio;X;Athletico-PR
;Coritiba;X;Cuiabá
;Bahia;X;Internacional
;América-MG;X;Botafogo
28ª;Flamengo;X;Vasco
;Botafogo;X;Athletico-PR
;São Paulo;X;Grêmio
;Corinthians;X;América-MG
;Bragantino;X;Fluminense
;Atlético-MG;X;Cruzeiro
;Internacional;X;Santos
;Coritiba;X;Palmeiras
;Bahia;X;Fortaleza
;Cuiabá;X;Goiás
29ª;Fluminense;X;Goiás
;Vasco;X;Internacional
