,start_time,away_team,home_team
107,2019-11-06 20:00:00+00:00,MINNESOTA_TIMBERWOLVES,MEMPHIS_GRIZZLIES
108,2019-11-06 20:30:00+00:00,ORLANDO_MAGIC,DALLAS_MAVERICKS
109,2019-11-06 21:00:00+00:00,PHILADELPHIA_76ERS,UTAH_JAZZ
110,2019-11-06 22:00:00+00:00,MILWAUKEE_BUCKS,LOS_ANGELES_CLIPPERS
111,2019-11-07 20:00:00+00:00,BOSTON_CELTICS,CHARLOTTE_HORNETS
112,2019-11-07 20:30:00+00:00,OKLAHOMA_CITY_THUNDER,SAN_ANTONIO_SPURS
113,2019-11-07 21:00:00+00:00,MIAMI_HEAT,PHOENIX_SUNS
114,2019-11-07 22:30:00+00:00,PORTLAND_TRAIL_BLAZERS,LOS_ANGELES_CLIPPERS
115,2019-11-08 19:00:00+00:00,DETROIT_PISTONS,INDIANA_PACERS
116,2019-11-08 19:00:00+00:00,MEMPHIS_GRIZZLIES,ORLANDO_MAGIC
117,2019-11-08 19:00:00+00:00,CLEVELAND_CAVALIERS,WASHINGTON_WIZARDS
118,2019-11-08 19:30:00+00:00,SACRAMENTO_KINGS,ATLANTA_HAWKS
119,2019-11-08 20:00:00+00:00,GOLDEN_STATE_WARRIORS,MINNESOTA_TIMBERWOLVES
120,2019-11-08 20:00:00+00:00,TORONTO_RAPTORS,NEW_ORLEANS_PELICANS
121,2019-11-08 20:30:00+00:00,NEW_YORK_KNICKS,DALLAS_MAVERICKS
122,2019-11-08 21:00:00+00:00,PHILADELPHIA_76ERS,DENVER_NUGGETS
123,2019-11-08 21:00:00+00:00,MILWAUKEE_BUCKS,UTAH_JAZZ
124,2019-11-08 22:00:00+00:00,BROOKLYN_NETS,PORTLAND_TRAIL_BLAZERS
125,2019-11-08 22:30:00+00:00,MIAMI_HEAT,LOS_ANGELES_LAKERS
126,2019-11-09 17:00:00+00:00,BOSTON_CELTICS,SAN_ANTONIO_SPURS
127,2019-11-09 19:00:00+00:00,NEW_ORLEANS_PELICANS,CHARLOTTE_HORNETS
128,2019-11-09 20:00:00+00:00,HOUSTON_ROCKETS,CHICAGO_BULLS
129,2019-11-09 20:00:00+00:00,DALLAS_MAVERICKS,MEMPHIS_GRIZZLIES
130,2019-11-09 20:00:00+00:00,GOLDEN_STATE_WARRIORS,OKLAHOMA_CITY_THUNDER
131,2019-11-10 15:30:00+00:00,DENVER_NUGGETS,MINNESOTA_TIMBERWOLVES
132,2019-11-10 18:00:00+00:00,INDIANA_PACERS,ORLANDO_MAGIC
133,2019-11-10 18:00:00+00:00,CHARLOTTE_HORNETS,PHILADELPHIA_76ERS
134,2019-11-10 19:00:00+00:00,MILWAUKEE_BUCKS,OKLAHOMA_CITY_THUNDER
135,2019-11-10 19:30:00+00:00,CLEVELAND_CAVALIERS,NEW_YORK_KNICKS
136,2019-11-10 20:00:00+00:00,BROOKLYN_NETS,PHOENIX_SUNS
137,2019-11-10 21:00:00+00:00,ATLANTA_HAWKS,PORTLAND_TRAIL_BLAZERS
138,2019-11-10 21:30:00+00:00,TORONTO_RAPTORS,LOS_ANGELES_LAKERS
139,2019-11-11 19:00:00+00:00,MINNESOTA_TIMBERWOLVES,DETROIT_PISTONS
140,2019-11-11 19:30:00+00:00,DALLAS_MAVERICKS,BOSTON_CELTICS
141,2019-11-11 19:30:00+00:00,MEMPHIS_GRIZZLIES,SAN_ANTONIO_SPURS
142,2019-11-11 20:00:00+00:00,HOUSTON_ROCKETS,NEW_ORLEANS_PELICANS
143,2019-11-11 22:30:00+00:00,UTAH_JAZZ,GOLDEN_STATE_WARRIORS
144,2019-11-11 22:30:00+00:00,TORONTO_RAPTORS,LOS_ANGELES_CLIPPERS
145,2019-11-12 19:00:00+00:00,OKLAHOMA_CITY_THUNDER,INDIANA_PACERS
146,2019-11-12 19:00:00+00:00,CLEVELAND_CAVALIERS,PHILADELPHIA_76ERS
147,2019-11-12 19:30:00+00:00,DETROIT_PISTONS,MIAMI_HEAT
148,2019-11-12 20:00:00+00:00,NEW_YORK_KNICKS,CHICAGO_BULLS
149,2019-11-12 21:00:00+00:00,ATLANTA_HAWKS,DENVER_NUGGETS
150,2019-11-12 21:00:00+00:00,LOS_ANGELES_LAKERS,PHOENIX_SUNS
151,2019-11-12 21:00:00+00:00,BROOKLYN_NETS,UTAH_JAZZ
152,2019-11-12 22:00:00+00:00,PORTLAND_TRAIL_BLAZERS,SACRAMENTO_KINGS
153,2019-11-13 19:00:00+00:00,MEMPHIS_GRIZZLIES,CHARLOTTE_HORNETS
154,2019-11-13 19:00:00+00:00,PHILADELPHIA_76ERS,ORLANDO_MAGIC
